Type,ID,last_checked,last_modified,last_vectorised,name,unique_name,unique_name,unique_name
movement,arts_and_crafts,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,the arts & crafts movement,crafts,crafts,crafts
movement,der_blaue_reiter,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,der blaue reiter,blaue reiter,blaue reiter,blaue reiter
influencer,apollinaire_guillaume,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,guillaume apollinaire,guillaume apollinaire,guillaume apollinaire,guillaume apollinaire
definition,old_masters,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,old masters,old masters,old masters,old masters
artist,gris_juan,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,juan gris,juan gris,juan gris,juan gris
artist,richter_gerhard,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,gerhard richter,gerhard,gerhard,gerhard
movement,neo_plasticism,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,neo-plasticism,neo-plasticism,neo-plasticism,neo-plasticism
artist,fuseli_henry,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,henry fuseli,fuseli,fuseli,fuseli
artist,blake_william,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,william blake,,,
artist,serusier_paul,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,paul sérusier,serusier,serusier,serusier
movement,post_minimalism,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,post-minimalism,post-minimalism,post-minimalism,post-minimalism
influencer,barnes_albert_c,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,albert c. barnes,c. barnes,c. barnes,c. barnes
artist,gabo_naum,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,naum gabo,naum gabo,naum gabo,naum gabo
artist,puvis_de_chavannes_pierre,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,pierre puvis de chavannes,puvis chavannes,puvis chavannes,puvis chavannes
artist,ai_weiwei,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,ai weiwei,ai weiwei,ai weiwei,ai weiwei
artist,tatlin_vladimir,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,vladimir tatlin,vladimir tatlin,vladimir tatlin,vladimir tatlin
artist,mendieta_ana,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,ana mendieta,ana mendieta,ana mendieta,ana mendieta
definition,gesamtkunstwerk,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,gesamtkunstwerk,gesamtkunstwerk,gesamtkunstwerk,gesamtkunstwerk
movement,yoga_western_style_japanese_painting,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,yōga,yoga,yoga,yoga
movement,modern_photography,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,modern photography,,,
critic,schapiro_meyer,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,meyer schapiro,meyer,meyer,meyer
artist,flack_audrey,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,audrey flack,audrey flack,audrey flack,audrey flack
artist,mengs_anton_raphael,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,anton raphael mengs,anton mengs,anton mengs,anton mengs
artist,miller_lee,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,lee miller,miller,miller,miller
artist,reynolds_joshua,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,joshua reynolds,joshua reynolds,joshua reynolds,joshua reynolds
artist,giorgione,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,giorgione,giorgione,giorgione,giorgione
artist,rembrandt_van_rijn,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,rembrandt van rijn,rembrandt rijn,rembrandt rijn,rembrandt rijn
artist,schapiro_miriam,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,miriam schapiro,miriam,miriam,miriam
artist,samaras_lucas,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,lucas samaras,samaras,samaras,samaras
movement,the_ancients,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,ancients,ancients,ancients,ancients
movement,fourteenth_street_school,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,fourteenth street school,fourteenth,fourteenth,fourteenth
artist,bruegel_the_elder_pieter,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,pieter bruegel the elder,bruegel,bruegel,bruegel
artist,fantin_latour_henri,08 March 2024 16:09,08 March 2024 16:09,08 March 2024 16:09,henri fantin-latour,fantin-latour,fantin-latour,fantin-latour
